Name,Price,Old,Discount,Stars_and_reviews
"AILYONS ELP3601K 3.1CH Subwoofer Home Theatre Multi Media Bluetooth Speaker System, 1YR WRTY","KSh 4,399","KSh 6,999",37%,4 out of 5(47)
RichRipple 4in1 Pack Phone Camera Tripod Stand 1/4 Screw Head Remote Control Selfie,KSh 929,"KSh 1,499",38%,4.4 out of 5(65)
AILYONS FK-0318 Stainless Steel 3.5L Electric Kettle-Ultra Plus Kettle. (1YR WRTY),"KSh 1,453","KSh 1,999",27%,4.3 out of 5(334)
"Vitron V643 3.1Ch Bluetooth Speaker System, 12V","KSh 4,891","KSh 5,600",13%,4.2 out of 5(225)
Qwen Bluetooth Earbuds Wireless Headsets Earphone Gaming Earphone Sports Headphones,KSh 500,KSh 800,38%,3.8 out of 5(40)
SiYi Sex Lubricant Water Based Lubricant Sex Lube-215ML,KSh 455,KSh 900,49%,4.2 out of 5(419)
"Superfoam Luxury White Fiber Pillow 600gms ( 100% Pure Fiber, Soft Feel) 68 Cm X 43 Cm",KSh 850,KSh 962,12%,4.4 out of 5(214)
Garnier Pure Active Charcoal Anti-Blackhead Peel-Off Mask,KSh 525,"KSh 1,050",50%,4 out of 5(183)
Garnier Vitamin C Booster Serum 30ml Twin Pack,"KSh 2,215","KSh 3,500",37%,4.5 out of 5(657)
XIAOMI Redmi A3 Dual Sim (3GB RAM+64 ROM GB) - Midnight Black (1YR WRTY),"KSh 10,746","KSh 12,500",14%,4.3 out of 5(52)
Garnier Even & Matte Normal To Oily Skin Face Moisturizer – 40ml,KSh 645,"KSh 1,090",41%,3.8 out of 5(1675)
Nunix Automatic Water Dispenser Pump – White & Black,KSh 385, , ,4.2 out of 5(105)
HOMMY 3 Column Portable Wardrobe - Brown Cover,"KSh 2,599","KSh 4,500",42%,3.8 out of 5(781)
RichRipple Pro2+ Bluetooth Headsets Wireless Pods Pro Earpods Earphones,KSh 599,KSh 754,21%,4.1 out of 5(207)
AILYONS FK-0317 Stainless Steel 3.5L Electric Kettle-Ultra Plus Kettle (1YR WRTY),"KSh 1,399","KSh 3,299",58%,4.3 out of 5(167)
RichRipple Aluminum Alloy Portable Laptop Stand Adjustable Height Foldable Computer Stand,KSh 539,KSh 999,46%,4.5 out of 5(115)
AILYONS E0-2001 20L Electric Rotisserie Oven Electric Oven With Grill Pan (1YR WRTY),"KSh 3,799","KSh 6,399",41%,3.9 out of 5(61)
"Oppo A18,6.6"",64GB+4GB, 8MP, 90Hz, 5000mAh (Dual Sim) Glowing Blue, 1YR WRTY","KSh 12,454","KSh 17,100",27%,4.4 out of 5(37)
Mara Fenugreek Powder-100g,KSh 300, , ,4.2 out of 5(87)
RichRipple P9 Bluetooth Headsets Hi-Fi Stereo Noise Reduction Headphone,KSh 743,"KSh 1,377",46%,3.8 out of 5(125)
Adidas Adilette Aqua Slides Unisex,"KSh 1,999","KSh 4,600",57%,4.2 out of 5(44)
Nunix K1S Hot & Normal Standing Water Dispenser – White,"KSh 3,465", , ,4.2 out of 5(93)
RichRipple Purple Metal Desktop Phones & Tablets Holder Foldable Stand,KSh 329,KSh 586,44%,4.3 out of 5(60)
"Oppo A18,6.6"",64GB+4GB, 8MP, 90Hz, 5000mAh (Dual Sim) Glowing Black, 1YR WRTY","KSh 12,708","KSh 17,100",26%,4.1 out of 5(48)
Nunix 5-Tier Multifunctional Shoe Rack - White,"KSh 1,680", , ,4.2 out of 5(37)
"Vitron HTC3218F - 32"" HD Frameless LED Digital TV (StarTimes Inbuilt Decoder) 1YR WRTY","KSh 11,099","KSh 15,514",28%,4.1 out of 5(141)
"Nunix 50 * 55cm Cookers 3 Gas, 1 Hotplate Electric Oven 3 Gas, Electric Oven(1YR WRTY)","KSh 21,500","KSh 22,550",5%,3.7 out of 5(84)
Oraimo Rock Stereo Bass Super Long Playtime IPX5 Waterproof True Wireless Earbuds,"KSh 2,050","KSh 2,612",22%,4.3 out of 5(343)
ARHANORY Phone Tripod Stand Mobile Phone Holder Mount Ring Light Set Selfie Stick-Black,KSh 469,KSh 782,40%,4 out of 5(718)
RichRipple Portable Plastic Laptop Stand 10-hole Adjustable Foldable Ipad Computer Stand,KSh 388,KSh 642,40%,4.2 out of 5(98)
"AILYONS ELP3701K 3.1CH Multimedia Bluetooth Subwoofers Speaker System, 1YR WRTY.","KSh 4,899","KSh 7,999",39%,4 out of 5(54)
Maybelline New York Superstay Skin Tint Shade  63 With Vitamin C,"KSh 2,000","KSh 2,500",20%,4.5 out of 5(37)
Power King Best 4 Way Power Extension With Long Cable - White,KSh 390,KSh 450,13%,4.1 out of 5(533)
"Vitron V641 3.1Ch Bluetooth Speaker System, 12V","KSh 4,890","KSh 6,300",22%,4.2 out of 5(122)
Maybelline Lasting Fix Setting Spray,"KSh 1,665","KSh 2,220",25%,4.5 out of 5(1702)
Mara Fenugreek Seeds-250g,KSh 500, , ,4.6 out of 5(132)
"VON VAMS-20DGX Microwave Oven, Solo, 20L, Digital, Black. (1YR WRTY)","KSh 9,499","KSh 12,995",27%,4.4 out of 5(223)
Garnier Charcoal Serum With AHA+BHA 30ml Twin Pack,"KSh 2,960","KSh 3,700",20%,4.5 out of 5(343)
Qwen USB Flash Drive  Flash Disk-32GB  Silver,KSh 550,"KSh 1,000",45%,4.1 out of 5(473)
Power King 2Pcs 6 Way Power Extension Socket 3M Cable,KSh 899,KSh 950,5%,4.2 out of 5(323)
"NIVEA Pearl & Beauty Black Pearl Fine Fragrance Anti-Perspirant Roll-On, 48h - 50ml (Pack Of 2)",KSh 728,"KSh 1,040",30%,4.5 out of 5(408)
VON 1.7L CORDLESS KETTLE VSKL17BNK WHITE AND BLACK (1YR WRTY),"KSh 1,410","KSh 2,395",41%,4.4 out of 5(191)
Hisense HS2100 - 2.1CH Soundbar With Wireless Subwoofer 240W (2YRs WRTY),"KSh 15,949","KSh 23,000",31%,4.5 out of 5(110)
RichRipple 6in1 10 Inch Ring Light+2.1M Tripod Stand For Tiktok Youtube Gift:Mic+Remote,"KSh 1,602","KSh 2,599",38%,4.1 out of 5(37)
RichRipple T500+PRO 2 Smart Watch Band Health Monitor Smart Watches,"KSh 1,115","KSh 1,929",42%,3.7 out of 5(39)
L'Oreal GLYCOLIC BRIGHT INSTANT GLOWING SERUM 30ML,"KSh 2,049","KSh 2,300",11%,4.6 out of 5(144)
Qwen Wireless Earbuds Bluetooth Headset Touch Control Earphones With Digital Led Display,KSh 580,"KSh 1,000",42%,3.9 out of 5(149)
Hikers Fridge 86Liters Double Door Refrigerator RF86L-Silver,"KSh 18,619","KSh 31,998",42%,4.3 out of 5(11)
RichRipple Phone Tripod 3in1 Wireless Remote Control Selfie Stick With LED Light,KSh 455,KSh 699,35%,4.2 out of 5(34)
"AILYONS TYB-201 Blender & Grinder - 1.5L, 350W. (1YR WRTY)","KSh 1,699","KSh 2,699",37%,4.2 out of 5(94)
"AILYONS LET3208W 32"" FHD Frameless Digital LED TV Inbuilt Decoder DVB T2/S2 - USB-HDMI-VGA - Black&nbsp;, 1YR WRTY","KSh 10,599","KSh 18,999",44%,4.1 out of 5(18)
Oraimo 10000mAh Power-Bank OPB-P110DN,"KSh 1,620","KSh 2,432",33%,4.1 out of 5(228)
"Maybelline Lifter Gloss Hydrating Lip Gloss With Hyaluronic Acid, Topaz","KSh 1,279","KSh 2,000",36%,4.6 out of 5(534)
Sundabest Glass Jug (21114),KSh 360, , ,4.3 out of 5(38)
"Roch RFR-160DT-B Double Door Fridge, 126L ? Silver (1YR WRTY)","KSh 26,999","KSh 36,999",27%,4.6 out of 5(14)
Qwen TWS Wireless Earbuds Headset With Power Bank Black,KSh 829,"KSh 1,500",45%,4 out of 5(154)
Vitron VB-886 - 2in1 Blender - 1.5L - 350W - White,"KSh 1,820","KSh 2,999",39%,3.9 out of 5(171)
Roch RFR-120S-I Single Door Refrigerator - 90 Litres - Silver (1Y WRTY) (1YR WRTY),"KSh 17,499","KSh 23,000",24%,4.3 out of 5(253)
RichRipple T900 Ultra 2 Smart Watch Band Bluetooth Call Smart Watches,"KSh 1,115","KSh 1,929",42%,3.7 out of 5(59)
RichRipple P9 Bluetooth Headsets Hi-Fi Stereo Noise Reduction Headphone,KSh 699,"KSh 1,377",49%,3.8 out of 5(37)
Vitron V400 2.1Ch Bluetooth Speaker System,"KSh 3,000","KSh 4,000",25%,4.1 out of 5(58)
"AILYONS ELP3603K 3.1CH Subwoofer Home Theatre Multi Media Bluetooth Speaker System, 1YR WRTY","KSh 4,498","KSh 7,199",38%,4.3 out of 5(21)
Maybelline New York Superstay Skin Tint Shade  67 With Vitamin C,"KSh 2,000","KSh 2,500",20%,4.5 out of 5(30)
Nunix Baking batter dispenser,KSh 110, , ,4.5 out of 5(56)
VON Von 5534 4 Gas Cooker + Gas Oven 55x55 - Brown (1YR WRTY),"KSh 19,999","KSh 30,995",35%,4.1 out of 5(56)
AILYONS ELP2406K 2.1CH SubWoofer Home Theatrer Multi Media Speaker System (1YR WRTY),"KSh 2,729","KSh 3,999",32%,3.5 out of 5(50)
"Rashnik 22"" 3 Layer S.S. Dish Rack","KSh 2,040", , ,4.2 out of 5(102)
Hisense REF094DR - 94 Liters Fridge - Silver (2YRs WRTY),"KSh 19,899","KSh 23,000",13%,4.3 out of 5(151)
L'Oreal GLYCOLIC BRIGHT INSTANT GLOWING SERUM 15ML,"KSh 1,224","KSh 1,700",28%,4.5 out of 5(113)
Oraimo FreePods Lite ENC 40-hour Playtime Havybass True Wireless Earbuds,"KSh 2,100","KSh 2,508",16%,4.5 out of 5(200)
VON 8KG VWM-08AHK Black Washing Machine,"KSh 20,999","KSh 30,995",32%,4 out of 5(20)
"NIVEA Perfect & Radiant Luminous630 Anti Dark Marks Serum, 30ml & Day Cream, 40ml","KSh 3,299","KSh 5,610",41%,4.4 out of 5(433)
Maybelline Fit Me Hydrating Primer Luminous And Smooth,"KSh 1,394","KSh 1,475",5%,4.6 out of 5(403)
Sundabest High Quality Black Soup Bowl 6pcs (7118),KSh 410, , ,4.5 out of 5(34)
RichRipple 10000mAh Digital Display Power Bank Premium Black,KSh 836,"KSh 1,541",46%,3.9 out of 5(96)
RichRipple Metal Electric Hair Clippers Rechargeable Beard Hair Trimmer Salon Hair Cutting Kit  Vs Limit Comb,KSh 566,KSh 999,43%,4.1 out of 5(20)
Oraimo Traveller 4 20000mAh 2.1A Triple Ports Fast Charging Power Bank- Black 1YR WRTY,"KSh 2,299","KSh 3,500",34%,4.3 out of 5(96)
NIVEA MEN Deep Body Lotion For Men - 400ml (Pack Of 2),"KSh 1,005","KSh 1,340",25%,4.7 out of 5(524)
"Haier HMW20MB Analog Microwave Oven 700W, 20L - Black","KSh 8,499","KSh 10,395",18%,4.6 out of 5(23)
Oraimo FreePods Lite ENC 40-hour Playtime Havybass True Wireless Earbuds With APP Control-Black,"KSh 1,899","KSh 2,500",24%,4.5 out of 5(115)
Maybelline New York Superstay Skin Tint Shade  77 With Vitamin C,"KSh 2,000","KSh 2,500",20%,4.7 out of 5(26)
Nunix 138L Double Door Fridge Energy Efficient,"KSh 27,500", , ,3.9 out of 5(66)
NIVEA MEN Black & White Original Anti-Perspirant Rollon - 50ml (Pack Of 2),KSh 728,"KSh 1,040",30%,4.7 out of 5(237)
Vitron VB-815 - 2in1 Blender - 1.5L - 350W - White & Blue,"KSh 1,710","KSh 3,050",44%,4 out of 5(230)
RichRipple Sucker Stand Black Portable Power Bank 10000mAh,"KSh 1,099","KSh 1,699",35%,3.4 out of 5(22)
Ramtons PORTABLE WATER DISPENSER - RM/686 (1YR WRTY),"KSh 1,195", , ,4.8 out of 5(31)
Qwen Makeup Sponges Beauty Blender Sponge Pink 4pcs /Set,KSh 299,KSh 500,40%,4.6 out of 5(200)
Maybelline New York Superstay Skin  Tint Shade 66 With Vitamin C,"KSh 2,000","KSh 2,500",20%,4.5 out of 5(29)
Adidas Adilette Aqua Slides Unisex,"KSh 1,999","KSh 4,600",57%,4.4 out of 5(23)
Maybelline Fit Me Mattifying Primer Matte And Poreless,"KSh 1,254","KSh 1,475",15%,4.5 out of 5(517)
Vitron V402 2.1 Inch Bluetooth Speaker System,"KSh 3,000","KSh 4,000",25%,4 out of 5(24)
"Tecno Spark 20, Android 13, 6.6"", 128GB + 4GB RAM(4GB Extended), 50MP, 5000mAh, Gravity Black","KSh 15,999", , ,4.3 out of 5(77)
Dark And Lovely Waterless Cleanser - 250ml,KSh 417,KSh 595,30%,4.5 out of 5(577)
"U&I Gun Series Wired Earphones, Black",KSh 79,KSh 150,47%,3.8 out of 5(24)
Hikers 50'' Inch Frameless Android Smart 4K LED TV - Black,"KSh 32,999","KSh 49,999",34%,3.9 out of 5(57)
Vitron V5204 2.1Ch Multimedia Speaker System BT/USB/MP3 - Black,"KSh 4,499","KSh 6,999",36%,3.8 out of 5(152)
Sundabest Classy juice/ water Glass Jug (11891),KSh 366, , ,4.5 out of 5(21)
Garnier Micellar Cleansing Jelly Water With Charcoal,KSh 602,KSh 925,35%,4.5 out of 5(218)
RichRipple 180 °Rotatable Phone Holder Retractable Disc Base Phone Stand,KSh 339,KSh 609,44%,3.8 out of 5(30)
Qwen Memory Card 64GB High Speed C10 Red,KSh 599,"KSh 1,000",40%,4.2 out of 5(42)
L'Oreal Glycolic Bright Glowing Cream Day SPF25 50ml,"KSh 1,294","KSh 1,800",28%,4.4 out of 5(87)
Garnier Even & Matte Oily Skin Face Moisturizer,KSh 709,"KSh 1,090",35%,3.9 out of 5(1184)
"Nunix 50 * 55cm Cooker, 4 Gas Burners, Gas Oven","KSh 17,599","KSh 17,600",1%,3.9 out of 5(50)
Nunix 5-Tier Multifunctional Shoe Rack - Black,"KSh 1,560", , ,3.9 out of 5(56)
Qwen 64GB USB Flash Drive Portable Flash Disks Metal,KSh 750,"KSh 1,000",25%,4.2 out of 5(157)
Nunix Hair Blow Dryer With Beauty Accessories HD-01C - Red,"KSh 1,220", , ,3.5 out of 5(24)
RichRipple 6A 120w Super Fast Charge 3in1 USB Charging Cable,KSh 299,KSh 419,29%,3.7 out of 5(62)
Sundabest 6 Piece decorated Tea/cofee Cups (5830),KSh 330, , ,4.5 out of 5(17)
Qwen USB Flash Drive Flash Disks 64GB High Speed,KSh 699,"KSh 1,000",30%,4.1 out of 5(81)
Maybelline Superstay Matte Ink Liquid Lipstick - 20 Pioneer,"KSh 1,530","KSh 2,400",36%,4.5 out of 5(828)
Ramtons RM/609-cordless Electric Kettle 1.7 Litres- Black & Red (1YR WRTY),"KSh 1,808","KSh 2,100",14%,4.5 out of 5(31)
RichRipple 6Inch LED Selfie Ring Light & Tripod Stand 2 Phone Holders,KSh 579,KSh 999,42%,4.2 out of 5(24)
Garnier Skin Active Pure Charcoal Black Tissue Face Mask,KSh 350, , ,4.4 out of 5(1952)
Hikers 55'' Frameless Android Smart 4K LED TV - Black,"KSh 37,999","KSh 69,999",46%,4.7 out of 5(3)
"AILYONS ELP3602K 3.1CH Subwoofer Home Theatre Multi Media Bluetooth Speaker System + FREE BLUETOOTH EARPHONE, 1YR WRTY","KSh 4,999","KSh 7,099",30%,4.5 out of 5(14)
"Rashnik Bullet Thermos, 1000ml",KSh 599,KSh 600,1%,4.1 out of 5(40)
RichRipple 20000mAh PD40W Portable Power Bank Premium Black,"KSh 1,599","KSh 1,837",13%,4.1 out of 5(26)
"Skyworth 50G3A, 50&Prime; 4K UHD Frameless Smart Android TV &ndash; Black (1YR WRTY)","KSh 43,999","KSh 55,999",21%,4.5 out of 5(93)
Power King Extension Cable - 5 Way - White.,KSh 440,KSh 480,8%,4 out of 5(88)
Mara Castor Oil - 125ml,KSh 500,KSh 600,17%,4.4 out of 5(163)
"Midea MMO-MM720C2GXE(BK) , 20L Digital Microwave Oven , 700W - Black","KSh 8,495","KSh 13,000",35%,4.4 out of 5(14)
Nunix SR5L – 5 Layer Shoe Rack – Pink,KSh 599,KSh 600,1%,3.7 out of 5(17)
Rashnik TV Wall Mount TV Stand For 26” -  63”,KSh 344, , ,3.9 out of 5(33)
Oraimo Data Cable OCD-M53 2A 1M Black,KSh 95,KSh 180,47%,4.5 out of 5(11)
Garnier Protection 6 In 1 Cotton Fresh Womens Roll-on - 50ml,KSh 348,KSh 350,1%,4.4 out of 5(594)
Soko Maize Meal – 10Kg,KSh 629,KSh 749,16%,4.3 out of 5(157)
"Vitron VDR128DS, 125 Liters Double Door Fridge - Silver Hairline (1YR WRTY)","KSh 27,950","KSh 30,999",10%,4.5 out of 5(73)
"Gld 43"" Smart Frameless Full HD LED Television - Black.","KSh 20,543","KSh 30,000",32%,4.1 out of 5(21)
Nunix 5 Layer Shoe Rack – Pink,KSh 480, , ,3.8 out of 5(55)
Nunix 92L Single Door Fridge Energy Efficient BC-92,"KSh 18,699","KSh 18,700",1%,4.3 out of 5(60)
L'Oreal Glycolic Bright Glowing Cream Night 50ml,"KSh 1,294","KSh 1,800",28%,4.5 out of 5(68)
"C Idea 8 Inch Tablet,Android 12 Dual Camera Sim Red 256GB Adult Men Tablet With Case","KSh 6,999","KSh 13,000",46%,3.7 out of 5(9)
Wlisth Men's European Business Waterproof Watch - BLACK,"KSh 1,006","KSh 1,778",43%,4.1 out of 5(475)
"Skyworth F80215MB Front Load 8kg, Automatic Washer - Tim Grey (1YR WRTY)","KSh 42,499","KSh 56,999",25%,4.5 out of 5(44)
Maybelline Volume Express Colossal 100% Black Mascara,"KSh 1,250", , ,4.5 out of 5(1290)
"Skyworth 55G3B, 55-inches 4K QLED 2022 Frameless Smart Android TV, Black (1YR WRTY)","KSh 54,999","KSh 69,499",21%,4.7 out of 5(64)
Maybelline SuperStay 30H Active Wear Foundation- 67 Warm Coconut,"KSh 1,584","KSh 2,400",34%,4.2 out of 5(172)
Nunix NU-9090A 5.1 Woofer/mini Home Theatre Speaker System,"KSh 13,500","KSh 13,750",2%,3.4 out of 5(34)
Amtec AM-017-2.1 Speaker System 3000WATTS PMPO-BLACK,"KSh 2,780","KSh 3,600",23%,3.8 out of 5(52)
Garnier Micellar Cleansing Water For Sensitive Skin - 400ml,KSh 744,KSh 755,1%,4.5 out of 5(2015)
Maybelline Fit Me Powder 360 Mocha,"KSh 1,348","KSh 1,420",5%,4.5 out of 5(189)
Adidas Adilette Aqua Slides Unisex,"KSh 1,999","KSh 4,600",57%,4.9 out of 5(26)
"AILYONS GS014-4, 2 Burner Glass Top Gas Cooker & Infrared Double Burner (1YR WRTY)","KSh 2,369","KSh 3,299",28%,4.1 out of 5(33)
Nunix 5 Layer Shoe Rack Black (Smaller Design) SR5L,KSh 599,KSh 600,1%,3.3 out of 5(21)
Rashnik 3 Pcs White Bowl Set,KSh 659,KSh 660,1%,4 out of 5(22)
Rashnik Steel Cloth Drying Foldable Stand with Infinity Hooks,"KSh 1,679","KSh 1,680",1%,3.5 out of 5(15)
USN Micronized Creatine Monohydrate 200g - 40 Servings.,"KSh 2,499", , ,4.2 out of 5(753)
Rashnik 4 Tire Shoes Rack (Rn-7605),KSh 900, , ,3.8 out of 5(8)
RichRipple T55 Pro Max Smart Watch Bluetooth Headset Gift Box,"KSh 1,399","KSh 2,699",48%,3.1 out of 5(24)
Rashnik RN-999 2 In 1 Blender & Grinder – 1.5L – 400W - Purple,"KSh 1,680", , ,3.7 out of 5(6)
Nice One 6PCS 370ML High Quality Porcelain Tea Milk Coffee Ceramic Cups,KSh 599,KSh 899,33%,4.2 out of 5(11)
NIVEA UV Face Shine Control Cream SPF 50 – 50ml Pack of 2,"KSh 2,080","KSh 2,600",20%,4.6 out of 5(110)
Qwen Wireless Earbuds In-ear Bluetooth Earphones Digital LED Display,KSh 650,"KSh 1,200",46%,4.1 out of 5(128)
